accession	Pango_lineage	clade	genotype	CHIKVnext_lineage
OL898701	H	II-ECSA		South American Lineage
OL898700	H	II-ECSA		South American Lineage
OL898713	H	II-ECSA		South American Lineage
OL898710	H	II-ECSA		South American Lineage
OL898693	H	II-ECSA		South American Lineage
OL898686	H	II-ECSA		South American Lineage
OL898679	H	II-ECSA		South American Lineage
OL898707	H	II-ECSA		South American Lineage
OL898703	H	II-ECSA		South American Lineage
OL898692	H	II-ECSA		South American Lineage
OL898678	H	II-ECSA		South American Lineage
OL898663	H	II-ECSA		South American Lineage
OL898671	H	II-ECSA		South American Lineage
OL898675	H	II-ECSA		South American Lineage
OL898674	H	II-ECSA		South American Lineage
OL898704	H	II-ECSA		South American Lineage
OL898702	H	II-ECSA		South American Lineage
OL898712	H	II-ECSA		South American Lineage
OL898697	H	II-ECSA		South American Lineage
OL898695	H	II-ECSA		South American Lineage
OL898666	H	II-ECSA		South American Lineage
OL898680	H	II-ECSA		South American Lineage
OL898715	H	II-ECSA		South American Lineage
OL898708	H	II-ECSA		South American Lineage
OL898687	H	II-ECSA		South American Lineage
OL898694	H	II-ECSA		South American Lineage
OL898706	H	II-ECSA		South American Lineage
OL898669	H	II-ECSA		South American Lineage
OL898691	H	II-ECSA		South American Lineage
OL898696	H	II-ECSA		South American Lineage
OL898682	H	II-ECSA		South American Lineage
OL898709	H	II-ECSA		South American Lineage
OL898667	H	II-ECSA		South American Lineage
OL898705	H	II-ECSA		South American Lineage
OL898670	H	II-ECSA		South American Lineage
OL898681	H	II-ECSA		South American Lineage
OL898665	H	II-ECSA		South American Lineage
OL898698	H	II-ECSA		South American Lineage
OL898684	H	II-ECSA		South American Lineage
OL898690	H	II-ECSA		South American Lineage
OL898683	H	II-ECSA		South American Lineage
OL898699	H	II-ECSA		South American Lineage
OL898714	H	II-ECSA		South American Lineage
OL898711	H	II-ECSA		South American Lineage
OL898689	H	II-ECSA		South American Lineage
OL898677	H	II-ECSA		South American Lineage
OL898672	H	II-ECSA		South American Lineage
OL898664	H	II-ECSA		South American Lineage
OL898688	H	II-ECSA		South American Lineage
OL898685	H	II-ECSA		South American Lineage
OQ616993	H	II-ECSA	ECSA	
OQ759840	H	II-ECSA	East-Central-South-African	
OQ759858	H	II-ECSA	East-Central-South-African	
OQ759853	H	II-ECSA	East-Central-South-African	
OQ759845	H	II-ECSA	East-Central-South-African	
OQ760043	H	II-ECSA	East-Central-South-African	
OQ760042	H	II-ECSA	East-Central-South-African	
OQ759736	H	II-ECSA	East-Central-South-African	
OQ759740	H	II-ECSA	East-Central-South-African	
OQ759732	H	II-ECSA	East-Central-South-African	
OQ759720	H	II-ECSA	East-Central-South-African	
OQ760007	H	II-ECSA	East-Central-South-African	
OQ759999	H	II-ECSA	East-Central-South-African	
OQ759998	H	II-ECSA	East-Central-South-African	
OQ760020	H	II-ECSA	East-Central-South-African	
OQ760019	H	II-ECSA	East-Central-South-African	
OQ760018	H	II-ECSA	East-Central-South-African	
OQ760016	H	II-ECSA	East-Central-South-African	
OQ760017	H	II-ECSA	East-Central-South-African	
OQ760006	H	II-ECSA	East-Central-South-African	
OQ760012	H	II-ECSA	East-Central-South-African	
OQ760004	H	II-ECSA	East-Central-South-African	
OQ759997	H	II-ECSA	East-Central-South-African	
OQ760015	H	II-ECSA	East-Central-South-African	
OQ760009	H	II-ECSA	East-Central-South-African	
OQ760024	H	II-ECSA	East-Central-South-African	
OQ759996	H	II-ECSA	East-Central-South-African	
OQ759995	H	II-ECSA	East-Central-South-African	
OQ760027	H	II-ECSA	East-Central-South-African	
OQ760030	H	II-ECSA	East-Central-South-African	
OQ760000	H	II-ECSA	East-Central-South-African	
OQ760008	H	II-ECSA	East-Central-South-African	
OQ759993	H	II-ECSA	East-Central-South-African	
OQ759994	H	II-ECSA	East-Central-South-African	
OQ759991	H	II-ECSA	East-Central-South-African	
OQ760031	H	II-ECSA	East-Central-South-African	
OQ759990	H	II-ECSA	East-Central-South-African	
OQ759989	H	II-ECSA	East-Central-South-African	
OQ759848	H	II-ECSA	East-Central-South-African	
OQ759855	H	II-ECSA	East-Central-South-African	
OQ759849	H	II-ECSA	East-Central-South-African	
OQ759850	H	II-ECSA	East-Central-South-African	
OQ759862	H	II-ECSA	East-Central-South-African	
OQ759851	H	II-ECSA	East-Central-South-African	
OQ759846	H	II-ECSA	East-Central-South-African	
OQ759734	H	II-ECSA	East-Central-South-African	
OQ759729	H	II-ECSA	East-Central-South-African	
OQ759737	H	II-ECSA	East-Central-South-African	
OQ759733	H	II-ECSA	East-Central-South-African	
OQ759728	H	II-ECSA	East-Central-South-African	
OQ759685	H	II-ECSA	East-Central-South-African	
OQ759738	H	II-ECSA	East-Central-South-African	
OQ759697	H	II-ECSA	East-Central-South-African	
OQ759666	H	II-ECSA	East-Central-South-African	
OQ759822	H	II-ECSA	East-Central-South-African	
OQ759834	H	II-ECSA	East-Central-South-African	
OQ759799	H	II-ECSA	East-Central-South-African	
OQ759830	H	II-ECSA	East-Central-South-African	
OQ759829	H	II-ECSA	East-Central-South-African	
OQ759809	H	II-ECSA	East-Central-South-African	
OQ759827	H	II-ECSA	East-Central-South-African	
OQ759826	H	II-ECSA	East-Central-South-African	
OQ759810	H	II-ECSA	East-Central-South-African	
OQ759808	H	II-ECSA	East-Central-South-African	
OQ759828	H	II-ECSA	East-Central-South-African	
OQ759824	H	II-ECSA	East-Central-South-African	
OQ759817	H	II-ECSA	East-Central-South-African	
OQ759833	H	II-ECSA	East-Central-South-African	
OQ759831	H	II-ECSA	East-Central-South-African	
OQ759800	H	II-ECSA	East-Central-South-African	
OQ759813	H	II-ECSA	East-Central-South-African	
OQ759811	H	II-ECSA	East-Central-South-African	
OQ759807	H	II-ECSA	East-Central-South-African	
OQ759806	H	II-ECSA	East-Central-South-African	
OQ759805	H	II-ECSA	East-Central-South-African	
OQ759825	H	II-ECSA	East-Central-South-African	
OQ759801	H	II-ECSA	East-Central-South-African	
OQ759820	H	II-ECSA	East-Central-South-African	
OQ759823	H	II-ECSA	East-Central-South-African	
OQ759812	H	II-ECSA	East-Central-South-African	
OQ759815	H	II-ECSA	East-Central-South-African	
OQ759798	H	II-ECSA	East-Central-South-African	
OQ759694	H	II-ECSA	East-Central-South-African	
OQ759688	H	II-ECSA	East-Central-South-African	
OQ759702	H	II-ECSA	East-Central-South-African	
OQ759678	H	II-ECSA	East-Central-South-African	
OQ759703	H	II-ECSA	East-Central-South-African	
OQ759662	H	II-ECSA	East-Central-South-African	
OQ759663	H	II-ECSA	East-Central-South-African	
OQ759660	H	II-ECSA	East-Central-South-African	
OQ760014	H	II-ECSA	East-Central-South-African	
OQ760025	H	II-ECSA	East-Central-South-African	
OQ760013	H	II-ECSA	East-Central-South-African	
OQ760028	H	II-ECSA	East-Central-South-African	
OQ760023	H	II-ECSA	East-Central-South-African	
OQ760022	H	II-ECSA	East-Central-South-African	
OQ760021	H	II-ECSA	East-Central-South-African	
OQ760005	H	II-ECSA	East-Central-South-African	
OQ760010	H	II-ECSA	East-Central-South-African	
OQ760029	H	II-ECSA	East-Central-South-African	
OQ759992	H	II-ECSA	East-Central-South-African	
OQ759719	H	II-ECSA	East-Central-South-African	
OQ760011	H	II-ECSA	East-Central-South-African	
OQ759665	H	II-ECSA	East-Central-South-African	
OQ759718	H	II-ECSA	East-Central-South-African	
OQ759730	H	II-ECSA	East-Central-South-African	
OQ759739	H	II-ECSA	East-Central-South-African	
OQ759727	H	II-ECSA	East-Central-South-African	
OQ759726	H	II-ECSA	East-Central-South-African	
OQ759744	H	II-ECSA	East-Central-South-African	
OQ759724	H	II-ECSA	East-Central-South-African	
OQ759722	H	II-ECSA	East-Central-South-African	
OQ759699	H	II-ECSA	East-Central-South-African	
OQ759680	H	II-ECSA	East-Central-South-African	
OQ759664	H	II-ECSA	East-Central-South-African	
OQ759871	H	II-ECSA	East-Central-South-African	
OQ759866	H	II-ECSA	East-Central-South-African	
OQ759788	H	II-ECSA	East-Central-South-African	
OQ759786	H	II-ECSA	East-Central-South-African	
OQ759721	H	II-ECSA	East-Central-South-African	
OQ759780	H	II-ECSA	East-Central-South-African	
OQ759771	H	II-ECSA	East-Central-South-African	
OQ759777	H	II-ECSA	East-Central-South-African	
OQ759773	H	II-ECSA	East-Central-South-African	
OQ759766	H	II-ECSA	East-Central-South-African	
OQ759770	H	II-ECSA	East-Central-South-African	
OQ759767	H	II-ECSA	East-Central-South-African	
OQ759774	H	II-ECSA	East-Central-South-African	
OQ759783	H	II-ECSA	East-Central-South-African	
OQ759765	H	II-ECSA	East-Central-South-African	
OQ759717	H	II-ECSA	East-Central-South-African	
OQ759735	H	II-ECSA	East-Central-South-African	
OQ759731	H	II-ECSA	East-Central-South-African	
OQ759893	H	II-ECSA	East-Central-South-African	
OQ759905	H	II-ECSA	East-Central-South-African	
OQ759909	H	II-ECSA	East-Central-South-African	
OQ759959	H	II-ECSA	East-Central-South-African	
OQ759961	H	II-ECSA	East-Central-South-African	
OQ759960	H	II-ECSA	East-Central-South-African	
OQ759958	H	II-ECSA	East-Central-South-African	
OQ759953	H	II-ECSA	East-Central-South-African	
OQ759933	H	II-ECSA	East-Central-South-African	
OQ759816	H	II-ECSA	East-Central-South-African	
OQ759802	H	II-ECSA	East-Central-South-African	
OQ759769	H	II-ECSA	East-Central-South-African	
OQ759796	H	II-ECSA	East-Central-South-African	
OQ759772	H	II-ECSA	East-Central-South-African	
OQ759778	H	II-ECSA	East-Central-South-African	
OQ759784	H	II-ECSA	East-Central-South-African	
OQ759768	H	II-ECSA	East-Central-South-African	
OQ759725	H	II-ECSA	East-Central-South-African	
OQ759723	H	II-ECSA	East-Central-South-African	
OQ759884	H	II-ECSA	East-Central-South-African	
OQ759686	H	II-ECSA	East-Central-South-African	
OQ759701	H	II-ECSA	East-Central-South-African	
OQ759679	H	II-ECSA	East-Central-South-African	
OQ759791	H	II-ECSA	East-Central-South-African	
OQ759789	H	II-ECSA	East-Central-South-African	
OQ759763	H	II-ECSA	East-Central-South-African	
OQ759761	H	II-ECSA	East-Central-South-African	
OQ759759	H	II-ECSA	East-Central-South-African	
OQ759844	H	II-ECSA	East-Central-South-African	
OQ759842	H	II-ECSA	East-Central-South-African	
OQ759792	H	II-ECSA	East-Central-South-African	
OQ759781	H	II-ECSA	East-Central-South-African	
OQ759764	H	II-ECSA	East-Central-South-African	
OQ759776	H	II-ECSA	East-Central-South-African	
OQ759790	H	II-ECSA	East-Central-South-African	
OQ759762	H	II-ECSA	East-Central-South-African	
OQ759760	H	II-ECSA	East-Central-South-African	
OQ759756	H	II-ECSA	East-Central-South-African	
OQ759794	H	II-ECSA	East-Central-South-African	
OQ759758	H	II-ECSA	East-Central-South-African	
OQ759779	H	II-ECSA	East-Central-South-African	
OQ759714	H	II-ECSA	East-Central-South-African	
OQ759712	H	II-ECSA	East-Central-South-African	
OQ759793	H	II-ECSA	East-Central-South-African	
OQ759782	H	II-ECSA	East-Central-South-African	
OQ759654	H	II-ECSA	East-Central-South-African	
OQ759877	H	II-ECSA	East-Central-South-African	
OQ759881	H	II-ECSA	East-Central-South-African	
OQ759873	H	II-ECSA	East-Central-South-African	
OQ759869	H	II-ECSA	East-Central-South-African	
OQ759682	H	II-ECSA	East-Central-South-African	
OQ759681	H	II-ECSA	East-Central-South-African	
OQ760036	H	II-ECSA	East-Central-South-African	
OQ760041	H	II-ECSA	East-Central-South-African	
OQ760066	H	II-ECSA	East-Central-South-African	
OQ760056	H	II-ECSA	East-Central-South-African	
OQ760039	H	II-ECSA	East-Central-South-African	
OQ760054	H	II-ECSA	East-Central-South-African	
OQ760065	H	II-ECSA	East-Central-South-African	
OQ760055	H	II-ECSA	East-Central-South-African	
OQ760057	H	II-ECSA	East-Central-South-African	
OQ760048	H	II-ECSA	East-Central-South-African	
OQ760060	H	II-ECSA	East-Central-South-African	
OQ760053	H	II-ECSA	East-Central-South-African	
OQ760049	H	II-ECSA	East-Central-South-African	
OQ760037	H	II-ECSA	East-Central-South-African	
OQ760063	H	II-ECSA	East-Central-South-African	
OQ760064	H	II-ECSA	East-Central-South-African	
OQ760047	H	II-ECSA	East-Central-South-African	
OQ760068	H	II-ECSA	East-Central-South-African	
OQ760044	H	II-ECSA	East-Central-South-African	
OQ760038	H	II-ECSA	East-Central-South-African	
OQ760051	H	II-ECSA	East-Central-South-African	
OQ760052	H	II-ECSA	East-Central-South-African	
OQ760058	H	II-ECSA	East-Central-South-African	
OQ760045	H	II-ECSA	East-Central-South-African	
OQ760050	H	II-ECSA	East-Central-South-African	
OQ760067	H	II-ECSA	East-Central-South-African	
OQ760061	H	II-ECSA	East-Central-South-African	
OQ760035	H	II-ECSA	East-Central-South-African	
OQ760034	H	II-ECSA	East-Central-South-African	
OQ760040	H	II-ECSA	East-Central-South-African	
OQ760062	H	II-ECSA	East-Central-South-African	
OQ760046	H	II-ECSA	East-Central-South-African	
OQ760072	H	II-ECSA	East-Central-South-African	
OQ759653	H	II-ECSA	East-Central-South-African	
MT933038	H	II-ECSA	ECSA	South American Lineage
MT933033	H	II-ECSA	ECSA	South American Lineage
MW260516	H	II-ECSA	East/Central/South African	South American Lineage
MW260519	H	II-ECSA	East/Central/South African	South American Lineage
MW260515	H	II-ECSA	East/Central/South African	South American Lineage
MW260517	H	II-ECSA	East/Central/South African	South American Lineage
MW260514	H	II-ECSA	East/Central/South African	South American Lineage
MW260513	H	II-ECSA	East/Central/South African	South American Lineage
MW260518	H	II-ECSA	East/Central/South African	South American Lineage
MW260512	H	II-ECSA	East/Central/South African	South American Lineage
MT933046	H	II-ECSA	ECSA	South American Lineage
MT933049	H	II-ECSA	ECSA	South American Lineage
MT933051	H	II-ECSA	ECSA	South American Lineage
MT933050	H	II-ECSA	ECSA	South American Lineage
MT933048	H	II-ECSA	ECSA	South American Lineage
MT933040	H	II-ECSA	ECSA	South American Lineage
MT933037	H	II-ECSA	ECSA	South American Lineage
MT933035	H	II-ECSA	ECSA	South American Lineage
MT933041	H	II-ECSA	ECSA	South American Lineage
MT933032	H	II-ECSA	ECSA	South American Lineage
MT933034	H	II-ECSA	ECSA	South American Lineage
MT933031	H	II-ECSA	ECSA	
OQ759836	H	II-ECSA	East-Central-South-African	
ON023521	H	II-ECSA	East-Central-South-Africa	
ON023507	H	II-ECSA	East-Central-South-Africa	South American Lineage
ON023508	H	II-ECSA	East-Central-South-Africa	South American Lineage
ON023509	H	II-ECSA	East-Central-South-Africa	South American Lineage
ON023506	H	II-ECSA	East-Central-South-Africa	South American Lineage
ON023511	H	II-ECSA	East-Central-South-Africa	South American Lineage
ON023513	H	II-ECSA	East-Central-South-Africa	South American Lineage
ON023505	H	II-ECSA	East-Central-South-Africa	South American Lineage
ON023503	H	II-ECSA	East-Central-South-Africa	South American Lineage
ON023520	H	II-ECSA	East-Central-South-Africa	South American Lineage
ON023518	H	II-ECSA	East-Central-South-Africa	South American Lineage
ON023515	H	II-ECSA	East-Central-South-Africa	South American Lineage
ON023514	H	II-ECSA	East-Central-South-Africa	South American Lineage
ON023501	H	II-ECSA	East-Central-South-Africa	South American Lineage
OQ759787	H	II-ECSA	East-Central-South-African	
OQ759785	H	II-ECSA	East-Central-South-African	
OQ759705	H	II-ECSA	East-Central-South-African	
OQ759709	H	II-ECSA	East-Central-South-African	
OQ759710	H	II-ECSA	East-Central-South-African	
OQ759704	H	II-ECSA	East-Central-South-African	
MT933044	H	II-ECSA	ECSA	South American Lineage
MT933043	H	II-ECSA	ECSA	South American Lineage
MT933036	H	II-ECSA	ECSA	South American Lineage
OR453564	H	II-ECSA		
OR453563	H	II-ECSA		
OR453562	H	II-ECSA		
OR064023	H	II-ECSA	ECSA	
OR063991	H	II-ECSA	ECSA	
OR063989	H	II-ECSA	ECSA	
OR064018	H	II-ECSA	ECSA	
OR064011	H	II-ECSA	ECSA	
OQ759838	H	II-ECSA	East-Central-South-African	
OQ759835	H	II-ECSA	East-Central-South-African	
OR064029	H	II-ECSA	ECSA	
OR064027	H	II-ECSA	ECSA	
OR064026	H	II-ECSA	ECSA	
OR064028	H	II-ECSA	ECSA	
OR064021	H	II-ECSA	ECSA	
OR064020	H	II-ECSA	ECSA	
OR064019	H	II-ECSA	ECSA	
OR064009	H	II-ECSA	ECSA	
OQ865324	H	II-ECSA		
OR064025	H	II-ECSA	ECSA	
OR064022	H	II-ECSA	ECSA	
OR167341	H	II-ECSA	East-Central-South-African	
OR167340	H	II-ECSA	East-Central-South-African	
OR167337	H	II-ECSA	East-Central-South-African	
OR167330	H	II-ECSA	East-Central-South-African	
OR167291	H	II-ECSA	East-Central-South-African	
OP964965	H	II-ECSA	ECSA	
OP964962	H	II-ECSA	ECSA	
OP964958	H	II-ECSA	ECSA	
OP964959	H	II-ECSA	ECSA	
OP964957	H	II-ECSA	ECSA	
OP964956	H	II-ECSA	ECSA	
OP964960	H	II-ECSA	ECSA	
OP964955	H	II-ECSA	ECSA	
OP964954	H	II-ECSA	ECSA	
OP964991	H	II-ECSA	ECSA	
OP964966	H	II-ECSA	ECSA	
OP964981	H	II-ECSA	ECSA	
OP964980	H	II-ECSA	ECSA	
OP964970	H	II-ECSA	ECSA	
OP964974	H	II-ECSA	ECSA	
OP964968	H	II-ECSA	ECSA	
OP964963	H	II-ECSA	ECSA	
OP964946	H	II-ECSA	ECSA	
OP964953	H	II-ECSA	ECSA	
OP964944	H	II-ECSA	ECSA	
OP964992	H	II-ECSA	ECSA	
OP964990	H	II-ECSA	ECSA	
OP964984	H	II-ECSA	ECSA	
OP964978	H	II-ECSA	ECSA	
OP964988	H	II-ECSA	ECSA	
OP964989	H	II-ECSA	ECSA	
OP964985	H	II-ECSA	ECSA	
OP964969	H	II-ECSA	ECSA	
OP964972	H	II-ECSA	ECSA	
OP964971	H	II-ECSA	ECSA	
OP964947	H	II-ECSA	ECSA	
OP964948	H	II-ECSA	ECSA	
OP964942	H	II-ECSA	ECSA	
OP964938	H	II-ECSA	ECSA	
OP964976	H	II-ECSA	ECSA	
OP964973	H	II-ECSA	ECSA	
OP964986	H	II-ECSA	ECSA	
OP964961	H	II-ECSA	ECSA	
OP964983	H	II-ECSA	ECSA	
OP964933	H	II-ECSA	ECSA	
OP964979	H	II-ECSA	ECSA	
OP964975	H	II-ECSA	ECSA	
OP964943	H	II-ECSA	ECSA	
OP964987	H	II-ECSA	ECSA	
OP964982	H	II-ECSA	ECSA	
OP964977	H	II-ECSA	ECSA	
OP964951	H	II-ECSA	ECSA	
OP964941	H	II-ECSA	ECSA	
OP964967	H	II-ECSA	ECSA	
OP964964	H	II-ECSA	ECSA	
OP964949	H	II-ECSA	ECSA	
OP964940	H	II-ECSA	ECSA	
OP964952	H	II-ECSA	ECSA	
OP964950	H	II-ECSA	ECSA	
OP964945	H	II-ECSA	ECSA	
OP964939	H	II-ECSA	ECSA	
OP964937	H	II-ECSA	ECSA	
OP964936	H	II-ECSA	ECSA	
OP964935	H	II-ECSA	ECSA	
OP964934	H	II-ECSA	ECSA	
OP964932	H	II-ECSA	ECSA	
OR167346	H	II-ECSA	East-Central-South-African	
OR167343	H	II-ECSA	East-Central-South-African	
OR167347	H	II-ECSA	East-Central-South-African	
OR167321	H	II-ECSA	East-Central-South-African	
OR167307	H	II-ECSA	East-Central-South-African	
OR167339	H	II-ECSA	East-Central-South-African	
OR167336	H	II-ECSA	East-Central-South-African	
OR167332	H	II-ECSA	East-Central-South-African	
OR167312	H	II-ECSA	East-Central-South-African	
OR167311	H	II-ECSA	East-Central-South-African	
OR167305	H	II-ECSA	East-Central-South-African	
OR167335	H	II-ECSA	East-Central-South-African	
OR167331	H	II-ECSA	East-Central-South-African	
OR167322	H	II-ECSA	East-Central-South-African	
OR167302	H	II-ECSA	East-Central-South-African	
OR167294	H	II-ECSA	East-Central-South-African	
OR167293	H	II-ECSA	East-Central-South-African	
OQ759843	H	II-ECSA	East-Central-South-African	
OR167317	H	II-ECSA	East-Central-South-African	
OR167315	H	II-ECSA	East-Central-South-African	
OR167323	H	II-ECSA	East-Central-South-African	
OR167316	H	II-ECSA	East-Central-South-African	
OR167314	H	II-ECSA	East-Central-South-African	
OR167324	H	II-ECSA	East-Central-South-African	
OR167352	H	II-ECSA	East-Central-South-African	
OR167353	H	II-ECSA	East-Central-South-African	
OR167351	H	II-ECSA	East-Central-South-African	
OR167350	H	II-ECSA	East-Central-South-African	
OR167349	H	II-ECSA	East-Central-South-African	
OR167348	H	II-ECSA	East-Central-South-African	
OR167354	H	II-ECSA	East-Central-South-African	
OR167342	H	II-ECSA	East-Central-South-African	
OR167313	H	II-ECSA	East-Central-South-African	
OR167338	H	II-ECSA	East-Central-South-African	
OR167306	H	II-ECSA	East-Central-South-African	
OR167304	H	II-ECSA	East-Central-South-African	
OR167299	H	II-ECSA	East-Central-South-African	
OR167296	H	II-ECSA	East-Central-South-African	
OR167295	H	II-ECSA	East-Central-South-African	
OR167333	H	II-ECSA	East-Central-South-African	
OR167308	H	II-ECSA	East-Central-South-African	
OR167303	H	II-ECSA	East-Central-South-African	
OR167301	H	II-ECSA	East-Central-South-African	
OR167300	H	II-ECSA	East-Central-South-African	
OR167298	H	II-ECSA	East-Central-South-African	
OR167292	H	II-ECSA	East-Central-South-African	
OR167290	H	II-ECSA	East-Central-South-African	
OR167289	H	II-ECSA	East-Central-South-African	
OQ759890	H	II-ECSA	East-Central-South-African	
OQ759887	H	II-ECSA	East-Central-South-African	
OQ759797	H	II-ECSA	East-Central-South-African	
OQ759775	H	II-ECSA	East-Central-South-African	
OQ759741	H	II-ECSA	East-Central-South-African	
OQ759692	H	II-ECSA	East-Central-South-African	
OQ759671	H	II-ECSA	East-Central-South-African	
ON586957	H	II-ECSA	ECSA	South American Lineage
ON586956	H	II-ECSA	ECSA	South American Lineage
ON586955	H	II-ECSA	ECSA	South American Lineage
ON586954	H	II-ECSA	ECSA	South American Lineage
ON586961	H	II-ECSA	ECSA	South American Lineage
ON586968	H	II-ECSA	ECSA	South American Lineage
OP485452	H	II-ECSA	ECSA	South American Lineage
ON586967	H	II-ECSA	ECSA	South American Lineage
OP485449	H	II-ECSA	ECSA	South American Lineage
OP485453	H	II-ECSA	ECSA	South American Lineage
OP485448	H	II-ECSA	ECSA	South American Lineage
OP485447	H	II-ECSA	ECSA	South American Lineage
OP485450	H	II-ECSA	ECSA	South American Lineage
OP485446	H	II-ECSA	ECSA	South American Lineage
OP485455	H	II-ECSA	ECSA	South American Lineage
OP485451	H	II-ECSA	ECSA	South American Lineage
OP485454	H	II-ECSA	ECSA	South American Lineage
OP485445	H	II-ECSA	ECSA	South American Lineage
OP485444	H	II-ECSA	ECSA	South American Lineage
ON586965	H	II-ECSA	ECSA	South American Lineage
ON586962	H	II-ECSA	ECSA	South American Lineage
ON586966	H	II-ECSA	ECSA	South American Lineage
ON586964	H	II-ECSA	ECSA	South American Lineage
ON586960	H	II-ECSA	ECSA	South American Lineage
ON586959	H	II-ECSA	ECSA	South American Lineage
ON586963	H	II-ECSA	ECSA	South American Lineage
ON586958	H	II-ECSA	ECSA	
OR538603	H	II-ECSA		
OR538604	H	II-ECSA		
OR538602	H	II-ECSA		
OQ865322	H	II-ECSA		
OQ865323	H	II-ECSA		
OQ865321	H	II-ECSA		
OQ865320	H	II-ECSA		
OQ865315	H	II-ECSA		
OQ865313	H	II-ECSA		
OQ865314	H	II-ECSA		
OQ865312	H	II-ECSA		
OQ865305	H	II-ECSA		
OQ865319	H	II-ECSA		
OQ865318	H	II-ECSA		
OQ865317	H	II-ECSA		
OQ865316	H	II-ECSA		
OR167320	H	II-ECSA	East-Central-South-African	
OR167297	H	II-ECSA	East-Central-South-African	
OQ865311	H	II-ECSA		
OQ865310	H	II-ECSA		
OQ865308	H	II-ECSA		
OQ865307	H	II-ECSA		
OQ865306	H	II-ECSA		
OR064030	H	II-ECSA	ECSA	
OR064024	H	II-ECSA	ECSA	
OQ865309	H	II-ECSA		
PQ441909	H	II-ECSA		
MK244644	H	II-ECSA	East/Central/South African	
ON142088	H	II-ECSA		
ON142086	H	II-ECSA		
ON142084	H	II-ECSA		
ON142081	H	II-ECSA		
ON142078	H	II-ECSA		
ON142076	H	II-ECSA		
ON142069	H	II-ECSA		
ON142071	H	II-ECSA		
OP312955	H	II-ECSA	East-Central-South-African (ECSA)	
OP312952	H	II-ECSA	East-Central-South-African (ECSA)	
PP337008	H	II-ECSA	East-Central-South-African	
PP337007	H	II-ECSA	East-Central-South-African	
OP312945	H	II-ECSA	East-Central-South-African (ECSA)	
OP312968	H	II-ECSA	East-Central-South-African (ECSA)	
OP312939	H	II-ECSA	East-Central-South-African (ECSA)	
PP337004	H	II-ECSA	East-Central-South-African	
ON142087	H	II-ECSA		
ON142083	H	II-ECSA		
ON142089	H	II-ECSA		
ON142075	H	II-ECSA		
ON142068	H	II-ECSA		
PP337000	H	II-ECSA	East-Central-South-African	
PP336999	H	II-ECSA	East-Central-South-African	
OR452425	H	II-ECSA	East-Central-South-African (ECSA)	
OP312959	H	II-ECSA	East-Central-South-African (ECSA)	
ON142082	H	II-ECSA		
ON142079	H	II-ECSA		
ON142077	H	II-ECSA		
ON142072	H	II-ECSA		
PP337005	H	II-ECSA	East-Central-South-African	
OQ759878	H	II-ECSA	East-Central-South-African	
OQ759870	H	II-ECSA	East-Central-South-African	
OQ759868	H	II-ECSA	East-Central-South-African	
OQ759860	H	II-ECSA	East-Central-South-African	
MT933047	H	II-ECSA	ECSA	South American Lineage
MT933045	H	II-ECSA	ECSA	South American Lineage
MT933042	H	II-ECSA	ECSA	South American Lineage
MT933030	H	II-ECSA	ECSA	South American Lineage
OQ759715	H	II-ECSA	East-Central-South-African	
OQ759716	H	II-ECSA	East-Central-South-African	
OQ759707	H	II-ECSA	East-Central-South-African	
OQ759713	H	II-ECSA	East-Central-South-African	
OQ759711	H	II-ECSA	East-Central-South-African	
OQ759706	H	II-ECSA	East-Central-South-African	
OQ760032	H	II-ECSA	East-Central-South-African	
OQ760003	H	II-ECSA	East-Central-South-African	
OQ760002	H	II-ECSA	East-Central-South-African	
OQ760001	H	II-ECSA	East-Central-South-African	
OQ759988	H	II-ECSA	East-Central-South-African	
OQ759675	H	II-ECSA	East-Central-South-African	
OQ759691	H	II-ECSA	East-Central-South-African	
OQ759661	H	II-ECSA	East-Central-South-African	
OQ759659	H	II-ECSA	East-Central-South-African	
OQ759700	H	II-ECSA	East-Central-South-African	
OQ759670	H	II-ECSA	East-Central-South-African	
OQ759677	H	II-ECSA	East-Central-South-African	
OQ759689	H	II-ECSA	East-Central-South-African	
OQ759667	H	II-ECSA	East-Central-South-African	
OQ759657	H	II-ECSA	East-Central-South-African	
OQ759658	H	II-ECSA	East-Central-South-African	
OQ759676	H	II-ECSA	East-Central-South-African	
OQ759673	H	II-ECSA	East-Central-South-African	
OQ759656	H	II-ECSA	East-Central-South-African	
OQ759693	H	II-ECSA	East-Central-South-African	
OQ759695	H	II-ECSA	East-Central-South-African	
OQ759687	H	II-ECSA	East-Central-South-African	
OQ759674	H	II-ECSA	East-Central-South-African	
OQ759696	H	II-ECSA	East-Central-South-African	
OQ759683	H	II-ECSA	East-Central-South-African	
OQ759672	H	II-ECSA	East-Central-South-African	
OQ759698	H	II-ECSA	East-Central-South-African	
OQ759690	H	II-ECSA	East-Central-South-African	
OQ759669	H	II-ECSA	East-Central-South-African	
OQ759668	H	II-ECSA	East-Central-South-African	
OQ759655	H	II-ECSA	East-Central-South-African	
OQ759854	H	II-ECSA	East-Central-South-African	
OQ759907	H	II-ECSA	East-Central-South-African	
OQ759880	H	II-ECSA	East-Central-South-African	
OQ759874	H	II-ECSA	East-Central-South-African	
OQ759857	H	II-ECSA	East-Central-South-African	
OQ759847	H	II-ECSA	East-Central-South-African	
OQ759864	H	II-ECSA	East-Central-South-African	
